name,manufacturer,year,age,mileage,engine,transmission,price
Skoda Kamiq,Skoda,2020,1,14382,Petrol,Semiautomatic,19595
Skoda Scala,Skoda,2019,2,7452,Petrol,Semiautomatic,13495
Skoda Karoq,Skoda,2020,1,5555,Petrol,Automatic,24541
Skoda Karoq,Skoda,2020,1,7303,Petrol,Manual,20995
Skoda Karoq,Skoda,2020,1,20,Diesel,Manual,21300
Skoda Kodiaq,Skoda,2017,4,43066,Diesel,Automatic,26995
Skoda Rapid Spaceback,Skoda,2017,4,31664,Petrol,Manual,10990
Skoda Citigo,Skoda,2019,2,4959,Petrol,Manual,8750
Skoda Citigo,Skoda,2017,4,25101,Petrol,Manual,6263
Skoda Citigo,Skoda,2014,7,36364,Petrol,Manual,5499
Skoda Citigo,Skoda,2016,5,35584,Petrol,Manual,6366
Skoda Yeti Outdoor,Skoda,2017,4,29000,Petrol,Manual,14500
Skoda Yeti Outdoor,Skoda,2015,6,64000,Petrol,Semiautomatic,12000
Skoda Superb,Skoda,2021,0,15,Petrol,Semiautomatic,28795
Skoda Superb,Skoda,2021,0,10,Petrol,Semiautomatic,28495
Skoda Superb,Skoda,2020,1,10684,Petrol,Semiautomatic,25990
Skoda Octavia,Skoda,2021,0,17,Diesel,Semiautomatic,27000
Skoda Octavia,Skoda,2020,1,8510,Petrol,Manual,16000
Skoda Octavia,Skoda,2020,1,2792,Diesel,Semiautomatic,22290
Skoda Octavia,Skoda,2017,4,27077,Petrol,Semiautomatic,18950
Skoda Octavia,Skoda,2020,1,8865,Diesel,Manual,18658
Skoda Octavia,Skoda,2020,1,11210,Petrol,Semiautomatic,19402
Skoda Octavia,Skoda,2020,1,14642,Petrol,Manual,16698
Skoda Octavia,Skoda,2020,1,9480,Petrol,Semiautomatic,19750
Skoda Octavia,Skoda,2020,1,6740,Petrol,Semiautomatic,19950
Skoda Octavia,Skoda,2020,1,2545,Diesel,Semiautomatic,24389
Skoda Octavia,Skoda,2017,4,25732,Petrol,Manual,12596
Skoda Octavia,Skoda,2020,1,3115,Petrol,Manual,21000
Skoda Octavia,Skoda,2020,1,3758,Diesel,Manual,17795
Skoda Octavia,Skoda,2020,1,3071,Petrol,Manual,18390
Skoda Octavia,Skoda,2020,1,10368,Petrol,Semiautomatic,15590
Skoda Octavia,Skoda,2020,1,7955,Petrol,Semiautomatic,15850
Skoda Octavia,Skoda,2020,1,4623,Hybrid,Semiautomatic,26290
Skoda Octavia,Skoda,2020,1,10635,Diesel,Manual,17290
Skoda Fabia,Skoda,2016,5,20803,Diesel,Manual,6700
Skoda Fabia,Skoda,2019,2,21250,Petrol,Manual,10500
Skoda Fabia,Skoda,2021,0,2148,Petrol,Manual,13000
Skoda Fabia,Skoda,2014,7,50000,Petrol,Semiautomatic,6295
Skoda Fabia,Skoda,2020,1,8623,Petrol,Manual,13350
Skoda Fabia,Skoda,2020,1,10031,Petrol,Manual,13450
Skoda Fabia,Skoda,2019,2,25441,Petrol,Manual,10595
Skoda Fabia,Skoda,2018,3,21885,Petrol,Manual,9579
Skoda Fabia,Skoda,2018,3,31347,Petrol,Manual,10250
Skoda Fabia,Skoda,2020,1,8517,Petrol,Manual,12150
Skoda Fabia,Skoda,2016,5,30954,Petrol,Manual,8380
Skoda Fabia,Skoda,2019,2,15218,Petrol,Manual,12695
Skoda Fabia,Skoda,2018,3,11074,Petrol,Manual,9795
Skoda Fabia,Skoda,2018,3,11161,Petrol,Manual,10250
Skoda Fabia,Skoda,2016,5,32996,Petrol,Manual,8295
Skoda Fabia,Skoda,2020,1,11315,Petrol,Manual,11890
Skoda Fabia,Skoda,2020,1,4779,Petrol,Manual,13890
Skoda Fabia,Skoda,2018,3,32251,Petrol,Manual,11000
SEAT Arona,Seat,2019,2,15000,Petrol,Manual,14000
SEAT Arona,Seat,2018,3,21074,Petrol,Semiautomatic,15550
SEAT Arona,Seat,2018,3,38288,Diesel,Semiautomatic,14250
SEAT Arona,Seat,2018,3,21224,Petrol,Manual,14995
SEAT Arona,Seat,2021,0,3575,Petrol,Manual,19489
SEAT Ateca,Seat,2020,1,6679,Diesel,Semiautomatic,26480
SEAT Ateca,Seat,2020,1,2387,Diesel,Semiautomatic,26590
SEAT Ateca,Seat,2018,3,23594,Diesel,Manual,16490
SEAT Leon,Seat,2019,2,11000,Diesel,Manual,18990
SEAT Leon,Seat,2019,2,12553,Petrol,Manual,15490
SEAT Leon,Seat,2018,3,28666,Petrol,Manual,11000
SEAT Leon,Seat,2021,0,10,Hybrid,Semiautomatic,23890
SEAT Leon,Seat,2019,2,10120,Petrol,Semiautomatic,25250
SEAT Leon,Seat,2019,2,17907,Petrol,Manual,13500
Vauxhall Zafira,Vauxhall,2017,4,26401,Petrol,Manual,10900
Toyota Rav 4,Toyota,2014,7,85445,Diesel,Manual,9445
Suzuki Vitara,Suzuki,2018,3,21761,Petrol,Manual,14495
Skoda Karoq,Skoda,2021,0,2215,Petrol,Manual,27495
Skoda Fabia,Skoda,2018,3,21569,Petrol,Manual,11295
Skoda Fabia,Skoda,2019,2,11251,Petrol,Manual,10784
SEAT Ibiza,Seat,2020,1,6823,Petrol,Manual,15195
SEAT Ibiza,Seat,2018,3,29502,Petrol,Manual,9470
SEAT Ibiza,Seat,2018,3,26497,Petrol,Manual,13000
SEAT Ibiza,Seat,2015,6,43099,Petrol,Manual,7899
SEAT Ibiza,Seat,2018,3,36918,Petrol,Manual,11295
Renault Kadjar,Renault,2019,2,19639,Petrol,Manual,16990
Renault Kadjar,Renault,2018,3,35890,Petrol,Manual,14250
Renault Kadjar,Renault,2016,5,36000,Diesel,Manual,11600
Renault Kadjar,Renault,2020,1,5029,Petrol,Semiautomatic,22995
Renault Kadjar,Renault,2016,5,47300,Petrol,Manual,11995
Renault Kadjar,Renault,2017,4,33584,Petrol,Manual,12500
Renault Kadjar,Renault,2017,4,23000,Diesel,Manual,11965
Renault Kadjar,Renault,2020,1,9728,Petrol,Manual,19999
Renault Kadjar,Renault,2019,2,5158,Petrol,Semiautomatic,19300
Renault Kadjar,Renault,2017,4,51902,Diesel,Semiautomatic,12950
Renault Kadjar,Renault,2017,4,38058,Diesel,Manual,11980
Renault Kadjar,Renault,2016,5,3900,Diesel,Semiautomatic,15295
Renault Zoe,Renault,2020,1,7371,Electric,Automatic,23750
Renault Zoe,Renault,2020,1,3284,Electric,Automatic,24000
Renault Zoe,Renault,2019,2,19022,Electric,Automatic,16594
Renault Captur,Renault,2014,7,28185,Petrol,Manual,7990
Renault Captur,Renault,2016,5,23656,Diesel,Manual,10000
Renault Captur,Renault,2014,7,31531,Petrol,Manual,7500
Renault Captur,Renault,2020,1,977,Hybrid,Automatic,25500
Renault Captur,Renault,2014,7,51988,Diesel,Manual,7200
Renault Captur,Renault,2015,6,29000,Petrol,Manual,8490
Renault Captur,Renault,2016,5,22600,Diesel,Manual,9465
Renault Captur,Renault,2021,0,7900,Hybrid,Automatic,26000
Renault Captur,Renault,2018,3,12153,Petrol,Manual,12800
